Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
208,1264,B,  6,H,    2, 1.50, 1.50,    46.80,
208,1264,B,  6,H,    3, 1.50, 1.50,    48.30,
208,1264,B,  6,H,    4, 1.50, 1.50,    49.80,
208,1264,B,  6,H,    5, 1.50, 1.50,    51.30,
208,1264,B,  6,H,    6, 1.50, 1.50,    52.80,
208,1264,B,  6,H,    7, 0.53, 0.53,    54.30,
208,1264,B,  6,H,CC(7), 0.16, 0.16,    54.83,
208,1264,B,  7,H,    1, 1.50, 1.50,    54.80,
208,1264,B,  7,H,    2, 1.50, 1.50,    56.30,
208,1264,B,  7,H,    3, 1.50, 1.50,    57.80,
208,1264,B,  7,H,    4, 1.50, 1.50,    59.30,
208,1264,B,  7,H,    5, 1.50, 1.50,    60.80,
208,1264,B,  7,H,    6, 1.50, 1.50,    62.30,
208,1264,B,  7,H,    7, 0.56, 0.56,    63.80,
208,1264,B,  7,H,CC(N), 0.10, 0.10,    64.36,"0/0 All to PAL."
208,1264,B,  8,H,    1, 1.50, 1.50,    64.30,
208,1264,B,  8,H,    2, 1.50, 1.50,    65.80,
208,1264,B,  8,H,    3, 1.50, 1.50,    67.30,
208,1264,B,  8,H,    4, 1.50, 1.50,    68.80,
208,1264,B,  8,H,    5, 1.50, 1.50,    70.30,
208,1264,B,  8,H,    6, 1.50, 1.50,    71.80,
208,1264,B,  8,H,    7, 0.42, 0.42,    73.30,
208,1264,B,  8,H,CC(7), 0.22, 0.22,    73.72,
208,1264,B,  9,H,    1, 1.50, 1.50,    73.80,
208,1264,B,  9,H,    2, 1.50, 1.50,    75.30,
208,1264,B,  9,H,    3, 1.50, 1.50,    76.80,
208,1264,B,  9,H,    4, 1.50, 1.50,    78.30,
208,1264,B,  9,H,    5, 1.50, 1.50,    79.80,
208,1264,B,  9,H,    6, 1.50, 1.50,    81.30,
208,1264,B,  9,H,    7, 0.78, 0.78,    82.80,
208,1264,B,  9,H,CC(7), 0.15, 0.15,    83.58,
208,1264,B, 10,H,    1, 1.50, 1.50,    83.30,
208,1264,B, 10,H,    2, 1.50, 1.50,    84.80,
208,1264,B, 10,H,    3, 1.50, 1.50,    86.30,
208,1264,B, 10,H,    4, 1.50, 1.50,    87.80,
208,1264,B, 10,H,    5, 1.39, 1.39,    89.30,
208,1264,B, 10,H,    6, 1.50, 1.50,    90.69,
208,1264,B, 10,H,    7, 0.87, 0.87,    92.19,
208,1264,B, 10,H,CC(7), 0.22, 0.22,    93.06,
208,1264,B, 11,H,    1, 0.81, 0.81,    92.80,"Other: material extruded from core barrel into half liner."
208,1264,B, 11,H,    2, 1.50, 1.50,    93.61,
208,1264,B, 11,H,    3, 1.50, 1.50,    95.11,
208,1264,B, 11,H,    4, 1.50, 1.50,    96.61,
208,1264,B, 11,H,    5, 1.50, 1.50,    98.11,
208,1264,B, 11,H,    6, 1.50, 1.50,    99.61,
208,1264,B, 11,H,    7, 1.00, 1.00,   101.11,
208,1264,B, 11,H,    8, 0.59, 0.59,   102.11,
208,1264,B, 11,H,CC(8), 0.15, 0.15,   102.70,
208,1264,B, 12,H,    1, 0.53, 0.53,   102.30,"Crushed Liner."
208,1264,B, 12,H,    2, 1.50, 1.50,   102.83,
208,1264,B, 12,H,    3, 1.50, 1.50,   104.33,
208,1264,B, 12,H,    4, 1.50, 1.50,   105.83,
208,1264,B, 12,H,    5, 1.50, 1.50,   107.33,
208,1264,B, 12,H,    6, 1.50, 1.50,   108.83,
208,1264,B, 12,H,    7, 1.21, 1.21,   110.33,
208,1264,B, 12,H,CC(7), 0.16, 0.16,   111.54,
208,1264,B, 13,H,    1, 1.50, 1.50,   111.80,
208,1264,B, 13,H,    2, 1.50, 1.50,   113.30,
208,1264,B, 13,H,    3, 1.50, 1.50,   114.80,
208,1264,B, 13,H,    4, 1.50, 1.50,   116.30,
208,1264,B, 13,H,    5, 1.50, 1.50,   117.80,
208,1264,B, 13,H,    6, 1.00, 1.00,   119.30,
208,1264,B, 13,H,    7, 0.71, 0.71,   120.30,
208,1264,B, 13,H,CC(7), 0.15, 0.15,   121.01,
208,1264,B, 14,H,    1, 1.50, 1.50,   121.30,
