XDIS-ASCII-Export of ASP.webview_cores_view_aspx, created on 11/15/2017 11:08:26 AM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	TOP_DEPTH	DRILLED_LENGTH	BOTTOM_DEPTH	MCD_OFFSET	CORE_RECOVERY	CORE_RECOVERY_PC	CORE_ONDECK	ORIENTED	LAST_SECTION	CORE_CATCHER	ANALYST	IGSN	REMARKS	
105	647	A	63	R	607.8	9.7	617.5	0	2.49	25.67	10/20/1985 12:00:00 AM	&nbsp;	2	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	64	R	617.5	9.7	627.2	0	4.47	46.08	10/20/1985 12:00:00 AM	&nbsp;	3	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	65	R	627.2	9.6	636.8	0	4.38	45.62	10/21/1985 12:00:00 AM	&nbsp;	3	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	66	R	636.8	9.7	646.5	0	3.85	39.69	10/21/1985 12:00:00 AM	&nbsp;	3	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	67	R	646.5	9.7	656.2	0	4.95	51.03	10/21/1985 12:00:00 AM	&nbsp;	4	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	68	R	656.2	9.7	665.9	0	5.94	61.24	10/21/1985 12:00:00 AM	&nbsp;	4	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	69	R	665.9	9.6	675.5	0	0.39	4.06	10/21/1985 12:00:00 AM	&nbsp;	2	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	70	R	685.2	9.6	694.8	0	5.25	54.69	10/21/1985 12:00:00 AM	&nbsp;	5	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	71	R	694.8	9.7	704.5	0	4.39	45.26	10/21/1985 12:00:00 AM	&nbsp;	4	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	72	R	704.5	9.5	714	0	4.79	50.42	10/22/1985 12:00:00 AM	&nbsp;	5	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
